uid,uname,sp1,sp2,sp3,univ,dept,edu,url,w_score,w_article_num,w_friend_num,w_activeness,w_visit_num
1004812,庞俊霞,医学科学,肿瘤学,肿瘤化学药物治疗,中国药科大,NULL,,http://blog.sciencenet.cn/home.php?mod=space&uid=1004812,50,-1,2,795,603
1005893,胡劲松,医学科学,肿瘤学,血液淋巴肿瘤（白血病除外）,西安交大,医学院,副教授,http://blog.sciencenet.cn/home.php?mod=space&uid=1005893,54,1,21,5930,2948
1007445,唐金芝,医学科学,肿瘤学,女性生殖系统肿瘤,广西医科大学,肿瘤医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1007445,50,-1,1,400,559
1010843,夏鹏,医学科学,肿瘤学,肿瘤诊断,西安交大,医学院第一附属医院,副教授,http://blog.sciencenet.cn/home.php?mod=space&uid=1010843,50,-1,1,400,553
1014886,董俊,医学科学,肿瘤学,肿瘤生物治疗,大连医大,研究生院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1014886,54,-1,5,5160,847
1024349,杨杨,医学科学,肿瘤学,NULL,南京大学,临床医学系,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1024349,-1,-1,10,-1,-1
1036131,薛志刚,医学科学,肿瘤学,消化系统肿瘤,北京协和医学院,临床医学院,博士,http://blog.sciencenet.cn/home.php?mod=space&uid=1036131,53,-1,7,1200,400
1042522,李红,医学科学,肿瘤学,肿瘤复发与转移,NULL,NULL,NULL,http://blog.sciencenet.cn/home.php?mod=space&uid=1042522,50,-1,1,440,719
1095889,谢望时,医学科学,肿瘤学,肿瘤免疫,暨南大学,药学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1095889,58,-1,2,3000,1020
1114707,郑鹏,医学科学,肿瘤学,消化系统肿瘤,天津医大,研究生院,,http://blog.sciencenet.cn/home.php?mod=space&uid=1114707,50,-1,1,1120,967
1114732,任红亮,医学科学,肿瘤学,肿瘤生物治疗,天津医大,研究生院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1114732,50,-1,1,595,666
1115671,靳成娟,医学科学,肿瘤学,女性生殖系统肿瘤,山东大学,医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1115671,50,-1,1,410,526
1116919,孙彤,医学科学,肿瘤学,乳腺肿瘤,天津肿瘤医院,其它,,http://blog.sciencenet.cn/home.php?mod=space&uid=1116919,53,-1,1,1000,568
1123553,苏湘江,医学科学,肿瘤学,头颈部及颌面肿瘤,中南大学,湘雅医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1123553,51,-1,3,6260,611
1134618,宋文杰,医学科学,肿瘤学,消化系统肿瘤,温州医学院,第二临床医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1134618,50,-1,1,400,732
1163824,常琳,医学科学,肿瘤学,肿瘤复发与转移,北京协和医学院,基础医学院,博士,http://blog.sciencenet.cn/home.php?mod=space&uid=1163824,177,3,23,10560,4191
1168447,陈芳芳,医学科学,肿瘤学,肿瘤综合治疗,中科院上海药物研究所,其它,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1168447,50,-1,2,1700,754
1174283,郝剑,医学科学,肿瘤学,肿瘤综合治疗,天津医大,研究生院,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1174283,53,-1,7,825,1233
1176536,闫宁,医学科学,肿瘤学,肿瘤化学药物治疗,中南大学,湘雅医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1176536,50,-1,3,2190,724
1193430,曹俊霞,医学科学,肿瘤学,肿瘤复发与转移,清华大学,医学系,助理研究员,http://blog.sciencenet.cn/home.php?mod=space&uid=1193430,58,-1,1,575,760
1202106,刘镇涛,医学科学,肿瘤学,呼吸系统肿瘤,北京大学,医学部,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1202106,50,-1,1,880,431
1211928,王力军,医学科学,肿瘤学,肿瘤化学药物治疗,湖北工大,生物工程学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1211928,50,-1,7,2000,662
1235956,聂启昌,医学科学,肿瘤学,肿瘤复发与转移,南开大学,其他院系,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1235956,53,-1,1,595,650
1245405,王安安,医学科学,肿瘤学,肿瘤复发与转移,中山大学,中山医学院,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1245405,50,-1,1,595,710
1255,刘谦,医学科学,肿瘤学,肿瘤综合治疗,天津医大,第一临床医学院,,http://blog.sciencenet.cn/home.php?mod=space&uid=1255,80,1,2,2700,6179
1264288,陈书坤,医学科学,肿瘤学,肿瘤研究体系新技术,"Medizinische Universität Graz",NULL,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1264288,50,-1,1,1000,757
1265478,林花,医学科学,肿瘤学,神经系统肿瘤（含特殊感受器肿瘤）,Newcastle,其它,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1265478,53,-1,1,3100,405
1274882,庄光磊,医学科学,肿瘤学,肿瘤病因,上海交通大学,医学院,研究员,http://blog.sciencenet.cn/home.php?mod=space&uid=1274882,50,-1,1,3225,1351
1281542,李佳佳,医学科学,肿瘤学,女性生殖系统肿瘤,复旦大学,上海医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1281542,50,-1,1,500,428
1348122,朱蒙,医学科学,肿瘤学,肿瘤化学药物治疗,南开大学,医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1348122,50,-1,7,1210,788
1378817,刘攀,医学科学,肿瘤学,肿瘤遗传,中山大学,中山医学院,博士,http://blog.sciencenet.cn/home.php?mod=space&uid=1378817,55,253,24,24740,219621
1396737,张朋,医学科学,肿瘤学,肿瘤生物治疗,郑州大学,第一临床学院,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1396737,50,3,2,1140,642
1463452,王建涛,医学科学,肿瘤学,肿瘤综合治疗,四川大学,华西临床医学院,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1463452,51,-1,1,6400,1043
1509670,熊朝亮,医学科学,肿瘤学,NULL,中国科学院,生物物理研究所,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1509670,72,328,132,77655,277526
1566599,夏机良,医学科学,肿瘤学,肿瘤病因,南方医科大学,基础医学院,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1566599,50,-1,3,1930,1126
1698397,潘逼然,医学科学,肿瘤学,消化系统肿瘤,成都市第三人民医院,其它,,http://blog.sciencenet.cn/home.php?mod=space&uid=1698397,50,-1,1,900,471
1706749,郝德顺,医学科学,肿瘤学,肿瘤干细胞,吉林大学,NULL,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1706749,48,-1,5,13150,892
1713524,王书鹏,医学科学,肿瘤学,肿瘤遗传,安徽医科大学,NULL,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1713524,50,-1,1,1600,478
1724773,李娟,医学科学,肿瘤学,肿瘤复发与转移,山东大学,NULL,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1724773,50,-1,2,820,776
1751922,张利,医学科学,肿瘤学,肿瘤综合治疗,吉林省长春市二道区中医院,NULL,,http://blog.sciencenet.cn/home.php?mod=space&uid=1751922,54,8,4,5900,7013
1759016,房爽,医学科学,肿瘤学,肿瘤病因,"Georgetown University",其它,硕士,http://blog.sciencenet.cn/home.php?mod=space&uid=1759016,58,-1,1,980,743
1834950,王静芳,医学科学,肿瘤学,肿瘤综合治疗,哈尔滨医科大学,第二临床医学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1834950,50,-1,5,1100,995
1953819,柳清霞,医学科学,肿瘤学,肿瘤生物治疗,中国药科大,生命科学与技术学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=1953819,50,-1,6,1525,792
2001272,蒋念,医学科学,肿瘤学,肿瘤复发与转移,中山大学,NULL,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=2001272,50,-1,1,300,347
201685,陶丹,医学科学,肿瘤学,肿瘤化学药物治疗,北京协和医学院,NULL,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=201685,34,33,15,9445,16664
2045279,陈金芳,医学科学,肿瘤学,女性生殖系统肿瘤,吉林大学,NULL,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=2045279,50,-1,1,300,393
2061427,祝国光,医学科学,肿瘤学,肿瘤综合治疗,"NEO Clinic",NULL,教授,http://blog.sciencenet.cn/home.php?mod=space&uid=2061427,52,25,18,17020,221200
2062948,陆冬,医学科学,肿瘤学,肿瘤遗传,徐州医学院附属医院,其它,讲师,http://blog.sciencenet.cn/home.php?mod=space&uid=2062948,50,-1,1,580,557
2067148,黄道伟,医学科学,肿瘤学,肿瘤化学药物治疗,上海医药工业研究院,其它,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=2067148,51,4,5,7390,4448
209648,刘乔飞,医学科学,肿瘤学,肿瘤综合治疗,北京协和医学院,NULL,主治医师,http://blog.sciencenet.cn/home.php?mod=space&uid=209648,53,1,2,300,9746
210016,罗文新,医学科学,肿瘤学,肿瘤综合治疗,湖北中医药大学,其它院系,教授,http://blog.sciencenet.cn/home.php?mod=space&uid=210016,51,24,7,11400,90693
221002,李贞,医学科学,肿瘤学,肿瘤诊断,中国医疗器械有限公司,NULL,,http://blog.sciencenet.cn/home.php?mod=space&uid=221002,53,68,2,500,226566
2226319,李静,医学科学,肿瘤学,消化系统肿瘤,上海中医药,其它院系,主治医师,http://blog.sciencenet.cn/home.php?mod=space&uid=2226319,50,-1,1,4200,787
2244752,郭文慧,医学科学,肿瘤学,肿瘤预防,中国科学院大学,其它,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=2244752,50,-1,2,400,559
227628,高鹏,医学科学,肿瘤学,肿瘤发生,"University of Iowa",NULL,,http://blog.sciencenet.cn/home.php?mod=space&uid=227628,44,-1,2,6480,977
2317317,杜丰,医学科学,肿瘤学,肿瘤化学药物治疗,北京协和医学院,临床医学院,博士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=2317317,50,-1,1,400,590
232292,庄婷,医学科学,肿瘤学,乳腺肿瘤,"Karolinska Institutet",其它,博士,http://blog.sciencenet.cn/home.php?mod=space&uid=232292,50,-1,5,1180,962
236024,郑智国,医学科学,肿瘤学,肿瘤干细胞,浙江省肿瘤医院,NULL,,http://blog.sciencenet.cn/home.php?mod=space&uid=236024,31,5,6,4370,31519
2379433,程小珍,医学科学,肿瘤学,肿瘤复发与转移,海口市人民医院,其它,主治医师,http://blog.sciencenet.cn/home.php?mod=space&uid=2379433,50,2,1,595,1690
2517654,曹志,医学科学,肿瘤学,肿瘤物理治疗,广西医科大学,研究生学院,硕士在读,http://blog.sciencenet.cn/home.php?mod=space&uid=2517654,58,-1,1,3295,638
2538482,张惠,医学科学,肿瘤学,肿瘤化学药物治疗,上海交通大学,医学院,,http://blog.sciencenet.cn/home.php?mod=space&uid=2538482,50,-1,2,300,495
